I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
4.1901155,-4.3980103,0.29707184,1548.5117,0
4.409833,-6.3934937,0.29707184,1548.6732,0
4.4115124,-5.9663849,-0.050233722,1548.8347,0
3.968719,-7.9618683,-0.050233722,1548.9962,0
3.968719,-7.969429,0.29707184,1549.1577,0
3.7473221,-5.9890594,-0.050233722,1549.3193,0
3.7473221,-5.3268585,-0.050233722,1549.4808,0
3.9687185,-0.019088745,-0.050233722,1549.6423,0
3.743964,-3.1260757,-0.050233722,1549.8038,0
3.2994914,-2.9269714,-0.050233722,1549.9653,0
3.5225673,-3.6042557,0.29707184,1550.1268,0
3.3011706,-0.95413971,0.29707184,1549.6766,0
2.6336226,3.890564,-0.050233722,1549.8383,0
1.9677534,5.2011948,-0.39753917,1549.9998,0
1.5266392,11.371185,-0.39753917,1550.1613,0
0.19490105,14.227989,-0.050233722,1550.3228,0
-0.47264707,18.844711,-0.050233722,1550.4843,0
-1.3615921,25.456474,0.29707184,1550.6458,0
-2.2505369,30.73587,0.29707184,1550.8073,0
-3.5822754,39.770203,0.29707184,1550.9689,0
-4.9156928,43.510513,-0.050233722,1551.1304,0
-6.2491102,53.000832,-0.050233722,1551.2919,0
-7.1380548,58.059326,-0.39753917,1551.4534,0
-8.025321,64.671089,-0.050233722,1551.6149,0
-9.1373425,71.496635,-0.050233722,1551.7764,0
-10.251041,74.574295,-0.050233722,1551.9379,0
-10.474117,80.965157,-0.050233722,1552.0994,0
-11.139986,83.829056,0.29707184,1552.261,0
-11.584459,88.232033,0.29707184,1552.4225,0
-12.475082,91.979439,-0.050233722,1552.584,0
-12.699839,95.52018,-0.050233722,1552.1338,0
-12.478441,99.937325,-0.050233722,1552.2953,0
-12.255364,97.058334,-0.39753917,1552.4568,0
-12.033968,99.494675,0.29707184,1552.6183,0
-11.812572,98.176025,-0.050233722,1552.7799,0
-11.369778,99.0662,0.29707184,1552.9414,0
-10.703909,99.058647,-0.050233722,1553.1029,0
-9.8149643,97.291161,-0.050233722,1553.2644,0
-8.9276981,98.623093,-0.050233722,1553.4259,0
-7.3762422,93.542374,-0.39753917,1553.5874,0
-7.5926018,92.216644,-0.050233722,1553.7489,0
-9.135663,89.772293,-0.050233722,1553.9105,0
-8.6895103,90.427361,-0.050233722,1554.072,0
-7.3611302,93.733055,-0.050233722,1554.2335,0
-7.3611307,91.737541,0.64437717,1554.395,0
-7.3594513,93.489929,-0.050233722,1554.5565,0
-7.3577724,91.936195,-0.050233722,1554.718,0
-7.3577724,95.028076,-0.050233722,1554.8795,0
-7.5808482,97.671104,-0.39753917,1555.0411,0
-7.3577724,98.767937,-0.050233722,1555.2026,0
-7.8005657,102.75047,-0.050233722,1555.3641,0
-5.5849195,99.885658,0.29707184,1555.5256,0
-2.4836864,99.892288,0.29707184,1555.6871,0
-1.3733447,95.467133,0.29707184,1555.2369,0
-1.8144596,94.590271,0.29707184,1555.3984,0
-1.1485902,96.363945,-0.39753917,1555.5601,0
-0.039927244,93.499138,-0.39753917,1555.7216,0
1.2934899,93.056953,-0.050233722,1555.2714,0
2.4055107,87.0998,-0.050233722,1555.4329,0
3.7389278,84.676781,-0.050233722,1555.5944,0
4.1834002,81.804878,0.29707184,1555.7559,0
4.8526278,79.58139,-0.050233722,1555.9174,0
5.300458,80.884926,0.29707184,1556.079,0
5.9663272,78.668549,-0.39753917,1556.2405,0
5.7432513,83.099922,-0.050233722,1556.402,0
5.7432513,80.883553,-0.39753917,1556.5635,0
6.410799,79.543602,-0.050233722,1556.725,0
7.2997441,81.53109,-0.050233722,1556.8865,0
7.5194616,81.758621,0.29707184,1557.048,0
7.9622555,83.966957,0.29707184,1557.2096,0
8.6298027,79.776878,-0.050233722,1556.7594,0
9.7401447,78.465355,-0.050233722,1556.9209,0
10.848806,75.39386,-0.050233722,1557.0824,0
12.180546,71.431755,-0.050233722,1556.6322,0
13.513964,69.236717,-0.39753917,1556.7937,0
15.068777,60.408142,-0.050233722,1556.9552,0
17.068064,57.115772,0.29707184,1557.1167,0
18.622879,48.06633,0.29707184,1557.2783,0
19.734898,40.769695,-0.050233722,1557.4398,0
20.848598,36.130753,-0.050233722,1557.6013,0
21.962299,34.598335,-0.050233722,1557.7628,0
22.628166,36.144043,-0.050233722,1557.3126,0
23.072639,30.158512,-0.050233722,1557.4741,0
23.295715,31.041573,-0.050233722,1557.0239,0
23.07432,32.608597,0.29707184,1557.1855,0
22.629847,27.699055,0.29707184,1557.347,0
22.851244,24.549446,0.29707184,1556.8969,0
22.183697,25.425407,-0.050233722,1557.0583,0
21.962299,34.288605,-0.050233722,1557.2198,0
22.185375,33.632603,-0.050233722,1557.3813,0
22.406771,32.741516,-0.39753917,1557.5428,0
21.960619,28.971901,-0.050233722,1557.7045,0
22.182014,26.541752,-0.050233722,1557.866,0
22.849564,28.764305,-0.050233722,1558.0275,0
23.517113,22.123222,0.29707184,1558.189,0
23.515434,18.346493,-0.050233722,1558.3505,0
23.515434,18.160664,-0.050233722,1558.512,0
23.743546,22.185783,-0.050233722,1558.6735,0
25.080322,19.085899,-0.050233722,1558.2233,0
25.744511,11.540001,-0.050233722,1558.3849,0
25.964231,11.532433,0.29707184,1558.5464,0
26.410381,7.7841072,0.29707184,1558.7079,0
27.299326,5.7886238,0.29707184,1558.8694,0
27.522402,2.6887512,-0.050233722,1559.0309,0
27.522402,0.46528244,-0.050233722,1559.1924,0
27.522402,2.6736374,-0.39753917,1559.3539,0
28.189949,-0.87511063,-0.39753917,1559.5155,0
29.078896,1.9958916,-0.050233722,1559.677,0
29.296934,-0.66224289,-0.050233722,1559.8385,0
29.295254,-0.44891739,0.29707184,1560,0
29.298615,-2.4586067,0.29707184,1560.1615,0
29.078897,-2.0244026,-0.050233722,1560.323,0
28.409668,1.5021362,-0.050233722,1560.4845,0
28.186594,0.17639923,-0.050233722,1560.6461,0
28.186594,-0.50800705,-0.39753917,1560.8076,0
28.186592,-2.0617371,-0.39753917,1560.9691,0
27.963516,-2.5181541,-0.050233722,1561.1306,0
27.963516,-0.31690979,-0.050233722,1561.2921,0
27.519043,-2.7683525,0.29707184,1561.4536,0
27.519043,-0.79508209,0.29707184,1561.6151,0
